Time,X,Y
74.55,186,306
74.67,184,306
74.79,182,306
74.91,182,306
75.03,182,306
75.14,179,306
75.25,171,305
75.37,162,306
75.48,160,307
75.6,158,307
75.71,157,307
75.82,156,308
75.94,153,306
76.07,151,306
76.18,151,306
76.3,151,306
76.41,151,306
76.52,152,306
76.64,152,305
76.76,151,306
76.88,153,305
77,154,306
77.11,154,306
77.23,153,305
77.34,152,305
77.46,152,305
77.57,151,305
77.69,151,307
77.8,151,307
77.91,152,307
78.03,153,307
78.15,157,307
78.26,162,307
78.38,169,308
78.49,175,309
78.61,180,310
78.74,187,310
78.85,189,311
78.97,191,312
79.08,193,312
79.2,193,313
79.31,192,312
79.42,193,311
79.54,195,311
79.66,195,310
79.78,200,311
79.9,218,311
80.01,230,310
80.13,242,311
80.23,248,310
80.35,255,311
80.47,258,311
80.58,261,311
80.7,262,312
80.81,264,311
80.92,265,311
81.03,268,312
81.14,270,312
81.26,269,312
81.37,270,311
81.48,270,311
81.6,270,311
81.72,269,311
81.84,269,311
81.96,270,312
82.07,272,312
82.19,273,313
82.32,273,313
82.43,273,313
82.55,273,313
82.67,272,313
82.78,274,313
82.89,274,313
83.01,274,313
83.13,273,313
83.25,272,312
83.36,272,311
83.49,278,310
83.6,281,310
83.72,284,309
83.83,286,309
83.95,287,309
84.06,288,308
84.18,288,307
84.31,288,307
84.42,288,307
84.54,288,307
84.66,287,307
84.77,287,307
84.9,287,307
85.01,287,307
85.14,287,307
85.24,287,307
85.36,288,308
85.48,290,306
85.6,295,306
85.73,302,307
85.85,308,307
85.97,312,308
86.09,324,312
86.2,333,312
86.32,344,313
86.44,353,313
86.55,362,313
86.68,374,312
86.79,384,312
86.92,391,313
87.04,400,313
87.16,407,314
87.28,414,313
87.4,418,312
87.51,420,313
87.63,419,313
87.75,419,313
87.86,418,313
87.96,419,313
88.08,422,312
88.2,422,311
88.32,423,311
88.43,423,311
88.54,423,311
88.65,422,310
88.77,422,311
88.88,422,311
89,422,311
89.11,422,311
89.23,423,312
89.35,425,312
89.47,424,312
89.58,424,312
89.69,426,312
89.81,427,313
89.93,428,315
90.05,430,315
90.16,430,315
90.28,429,315
90.39,429,315
90.51,428,315
90.63,428,315
90.74,428,315
90.87,430,316
90.98,430,316
91.11,430,316
91.23,430,316
91.35,429,316
91.47,425,313
91.58,423,310
91.7,425,311
91.81,422,311
91.94,415,312
92.07,407,312
92.18,402,311
92.3,391,308
92.42,381,307
92.54,373,307
92.66,367,307
92.79,365,308
92.91,360,308
93.02,354,308
93.13,346,307
93.24,342,307
93.36,342,307
93.49,340,307
93.62,338,307
93.73,337,307
93.85,336,306
93.97,333,306
94.09,333,306
94.2,333,306
94.33,333,306
94.44,333,306
94.56,332,306
94.67,333,306
94.78,332,306
94.89,333,306
95.02,332,306
95.12,332,306
95.24,331,306
95.35,327,306
95.47,323,306
95.58,315,307
95.7,311,307
95.81,306,307
95.94,302,307
96.05,303,307
96.17,303,307
96.28,302,309
96.4,302,309
96.51,302,309
96.63,301,309
96.74,302,309
96.85,302,309
96.97,302,309
97.09,302,310
97.2,302,310
97.32,301,311
97.43,301,311
97.55,301,312
97.66,301,312
97.77,301,312
97.88,301,311
98,301,312
98.12,300,311
98.23,300,312
98.35,300,312
98.46,299,312
98.59,300,312
98.71,301,312
98.82,301,310
98.94,298,309
99.06,295,309
99.18,292,309
99.3,292,310
99.41,292,311
99.54,292,310
99.65,291,309
99.77,290,307
99.88,285,306
100,280,306
100.11,277,306
100.22,277,306
100.34,278,307
100.46,279,307
100.57,281,306
100.68,281,305
100.79,281,305
100.9,281,304
101.01,281,303
101.13,281,303
101.25,281,301
101.36,281,300
101.48,281,299
101.59,281,299
101.71,281,299
101.83,282,299
101.94,282,300
102.07,283,300
102.19,282,301
102.3,283,300
102.42,282,300
102.55,282,300
102.65,282,299
102.77,282,299
102.89,282,300
103,282,301
103.11,282,302
103.24,283,301
103.36,284,300
103.48,285,300
103.59,285,299
103.71,285,299
103.82,285,301
103.94,285,303
104.07,284,303
104.19,285,303
104.3,284,303
104.42,285,303
104.53,285,304
104.64,285,303
104.75,285,303
104.87,285,304
104.97,284,304
105.1,283,305
105.21,282,305
105.33,282,305
105.44,282,304
105.55,283,305
105.67,284,306
105.78,281,306
105.88,276,306
105.99,271,305
106.11,265,306
106.23,260,306
106.34,259,306
106.45,258,306
106.57,258,306
106.68,257,306
106.8,258,306
106.91,257,307
107.02,257,307
107.13,257,307
107.24,253,307
107.35,239,308
107.47,227,308
107.6,212,309
107.71,194,308
107.83,182,307
107.95,175,307
108.06,171,308
108.17,169,307
108.29,169,308
108.41,171,309
108.51,171,310
108.62,171,310
108.74,171,310
108.85,169,309
108.97,165,310
109.08,159,309
109.2,158,308
109.32,157,309
109.44,156,309
109.56,156,308
109.68,156,309
109.79,156,309
109.9,156,309
110.01,157,308
110.13,156,309
110.24,156,308
110.36,156,308
110.47,154,307
110.58,153,307
110.7,153,307
110.81,154,307
110.94,155,307
111.05,158,310
111.17,163,311
111.28,176,312
111.4,185,312
111.52,201,310
111.64,210,309
111.76,221,308
111.87,230,307
111.99,242,307
112.1,249,307
112.21,256,307
112.33,258,307
112.43,260,307
112.55,261,307
112.66,261,307
112.79,262,307
112.9,262,307
113.01,261,307
113.13,260,308
113.26,259,307
113.37,259,307
113.49,259,307
113.6,259,306
113.72,259,306
113.83,259,307
113.94,259,307
114.05,260,306
114.16,261,306
114.27,262,306
114.39,264,305
114.5,265,305
114.61,266,305
114.73,265,305
114.85,264,306
114.97,265,305
115.09,266,305
115.21,266,305
115.31,266,306
115.43,266,306
115.55,265,306
115.67,265,306
115.79,265,306
115.9,266,306
116.01,271,306
116.13,274,306
116.25,277,306
116.36,279,306
116.48,283,308
116.6,286,308
116.71,290,309
116.83,290,309
116.96,291,310
117.08,290,311
117.21,290,311
117.32,290,312
117.44,290,312
117.55,290,314
117.67,290,314
117.79,290,315
117.91,290,315
118.02,290,316
118.14,290,316
118.25,290,315
118.36,290,314
118.47,290,314
118.59,290,315
118.7,290,315
118.82,290,315
118.93,290,315
119.04,290,315
119.15,290,316
119.27,290,316
119.38,290,316
119.5,290,314
119.6,290,313
119.72,288,312
119.83,287,312
119.95,286,313
120.06,285,314
120.17,284,316
120.28,284,316
120.4,283,316
120.52,284,315
120.64,284,316
120.77,285,317
120.87,286,320
120.99,287,324
121.11,289,326
121.22,289,326
121.35,289,326
121.47,289,325
121.59,289,324
121.71,288,321
121.83,288,323
121.94,288,326
122.06,288,327
122.17,287,330
122.28,286,331
122.4,286,327
122.51,285,326
122.63,284,326
122.75,284,326
122.86,284,327
122.98,283,329
123.09,283,329
123.21,283,328
123.33,284,325
123.46,285,325
123.57,285,326
123.68,286,329
123.8,287,332
123.92,288,334
124.03,289,334
124.14,289,333
124.26,289,333
124.38,289,333
124.49,289,334
124.61,289,333
124.72,289,333
124.84,289,333
124.95,289,333
125.07,288,332
125.19,287,329
125.32,286,328
125.43,285,327
125.55,285,327
125.67,285,325
125.78,285,321
125.9,285,319
126.01,286,318
126.13,286,318
126.24,286,316
126.36,286,316
126.48,285,315
126.6,285,314
126.73,283,313
126.84,278,312
126.95,270,310
127.07,256,308
127.18,247,306
127.31,235,306
127.42,225,306
127.54,212,307
127.66,200,307
127.77,184,307
127.89,177,307
128.01,176,308
128.13,177,309
128.25,178,309
128.36,175,307
128.48,172,306
128.59,168,307
128.71,162,307
128.83,162,306
128.95,162,306
129.06,162,306
129.19,163,305
129.3,162,305
129.42,164,305
129.52,163,305
129.64,163,304
129.76,159,305
129.87,159,306
129.98,158,306
130.1,158,306
130.21,158,305
130.33,158,305
130.44,158,305
130.56,158,305
130.68,158,305
130.8,158,305
130.92,160,306
131.04,159,307
131.16,158,308
131.27,158,308
131.39,161,306
131.51,166,306
131.62,174,305
131.74,183,305
131.86,185,306
131.98,182,306
132.09,183,306
132.21,183,306
132.32,188,305
132.43,195,306
132.54,204,305
132.65,215,305
132.76,226,306
132.88,235,307
133,242,307
133.12,251,307
133.23,259,309
133.36,266,309
133.48,269,310
133.6,271,310
133.71,270,309
133.83,272,308
133.95,275,307
134.06,276,307
134.19,276,307
134.3,277,306
134.42,277,305
134.53,276,306
134.65,276,306
134.77,276,305
134.89,276,304
135,276,304
135.11,276,305
135.22,275,305
135.35,275,306
135.46,278,306
135.58,284,306
135.69,289,307
135.81,297,307
135.92,304,308
136.03,312,310
136.15,316,311
136.27,318,311
136.39,319,311
136.51,324,312
136.63,327,310
136.74,330,311
136.86,331,311
136.98,332,312
137.1,333,312
137.22,331,311
137.34,332,311
137.45,330,311
137.57,328,313
137.68,326,312
137.79,325,312
137.91,326,311
138.03,327,310
138.15,328,310
138.27,328,309
138.38,331,309
138.49,335,309
138.6,342,311
138.72,356,311
138.83,370,310
138.94,380,310
139.06,388,311
139.17,399,311
139.29,409,311
139.4,414,310
139.51,417,311
139.63,419,312
139.75,419,313
139.86,418,313
139.98,417,314
140.09,418,315
140.2,417,314
140.32,417,314
140.44,414,311
140.55,411,311
140.66,408,310
140.77,404,310
140.89,400,310
141.01,395,310
141.13,388,308
141.24,379,307
141.36,371,306
141.47,365,307
141.59,364,309
141.71,365,308
141.82,367,307
141.93,367,306
142.06,366,306
142.18,366,306
142.29,365,306
142.41,363,307
142.52,362,307
142.64,357,307
142.76,346,307
142.88,341,307
142.99,332,307
143.11,323,307
143.23,315,308
143.34,310,309
143.45,308,310
143.57,307,310
143.68,307,310
143.8,306,310
143.92,304,311
144.03,303,312
144.15,303,312
144.26,303,312
144.38,303,311
144.48,303,311
144.59,303,311
144.7,303,311
144.82,303,312
144.93,302,312
145.05,302,312
145.16,302,312
145.27,302,312
145.38,302,312
145.5,303,312
145.62,304,311
145.73,303,309
145.84,300,308
145.96,297,308
146.08,293,306
146.2,291,305
146.3,291,305
146.42,291,305
146.54,292,306
146.66,292,307
146.78,290,307
146.9,287,308
147.02,286,308
147.13,286,309
147.26,285,309
147.37,285,309
147.49,285,309
147.61,287,310
147.72,287,309
147.84,284,308
147.96,281,309
148.08,277,307
148.19,277,307
148.3,279,307
148.41,280,306
148.52,280,305
148.64,280,305
148.76,281,305
148.88,281,305
148.99,280,303
149.11,281,301
149.23,280,300
149.35,281,300
149.47,281,300
149.58,281,300
149.7,281,300
149.8,282,301
149.92,282,300
150.04,284,299
150.16,284,297
150.27,285,296
150.38,286,295
150.51,286,295
150.62,287,295
150.74,287,295
150.85,287,295
150.97,286,297
151.09,286,295
151.2,287,292
151.31,288,289
151.42,288,286
151.53,290,280
151.66,290,280
151.77,290,280
151.88,290,281
152,289,283
152.11,289,285
152.22,289,286
152.35,288,288
152.46,288,289
152.59,288,290
152.7,289,290
152.82,289,289
152.95,289,288
153.06,290,285
153.19,290,284
153.31,290,283
153.43,290,282
153.55,290,280
153.67,290,276
153.78,290,275
153.89,290,275
154.01,290,274
154.12,290,275
154.24,290,275
154.36,290,277
154.48,290,281
154.59,290,284
154.71,289,286
154.82,288,284
154.93,287,283
155.06,286,283
155.17,285,283
155.29,285,283
155.41,285,283
155.52,286,285
155.64,288,284
155.75,288,281
155.87,289,276
155.98,289,273
156.11,290,271
156.22,290,270
156.33,289,270
156.45,289,267
156.56,290,263
156.67,290,264
156.79,290,269
156.91,290,277
157.02,289,281
157.14,289,282
157.25,289,283
157.36,289,283
157.46,289,283
157.59,289,282
157.71,289,279
157.82,289,276
157.94,290,270
158.05,290,269
158.18,289,271
158.3,289,272
158.41,287,272
158.52,287,271
158.64,286,271
158.76,286,271
158.87,285,271
158.98,285,272
159.1,286,275
159.22,288,280
159.33,287,285
159.44,287,287
159.56,288,287
159.67,288,288
159.78,288,289
159.89,288,290
160.01,288,292
160.13,290,294
160.25,294,299
160.36,300,304
160.48,303,305
160.59,306,307
160.7,312,307
160.82,315,307
160.93,323,308
161.06,325,308
161.18,326,309
161.29,325,309
161.4,325,309
161.51,326,309
161.64,331,310
161.75,340,310
161.86,351,310
161.99,366,309
162.11,381,309
162.24,395,311
162.35,403,311
162.47,413,311
162.58,415,312
162.69,415,312
162.82,414,310
162.93,413,309
163.05,413,309
163.16,412,310
163.28,411,311
163.4,411,311
163.51,411,311
163.63,411,311
163.75,412,310
163.87,415,309
163.98,417,308
164.1,418,308
164.21,418,308
164.33,419,308
164.45,420,308
164.56,421,308
164.68,420,308
164.79,420,308
164.91,420,307
165.03,420,308
165.14,420,308
165.26,419,307
165.37,419,307
165.49,419,308
165.6,419,307
165.72,419,307
165.84,419,308
165.95,419,307
166.07,421,308
166.19,421,308
166.32,423,309
166.43,423,309
166.55,424,309
166.67,424,309
166.78,424,309
166.9,424,309
167.02,424,309
167.13,424,309
167.25,424,309
167.36,424,309
167.48,424,309
167.6,424,309
167.72,424,309
167.83,423,309
167.95,423,309
168.07,423,309
168.19,423,309
168.3,423,309
168.42,423,309
168.54,423,309
168.66,423,309
168.78,423,309
168.9,423,309
169.02,423,309
169.12,424,309
169.24,423,309
169.35,423,309
169.47,423,309
169.58,423,309
169.69,424,309
169.81,424,309
169.92,424,309
170.04,426,308
170.15,427,308
170.27,427,307
170.39,428,307
170.5,429,307
170.62,430,306
170.73,430,306
170.84,430,307
170.96,430,306
171.08,429,307
171.19,426,308
171.3,424,308
171.42,425,308
171.53,427,310
171.65,428,310
171.77,428,310
171.89,428,311
172.01,429,311
172.12,428,309
172.24,428,310
172.36,428,310
172.48,428,311
172.6,428,311
172.71,428,311
172.82,427,312
172.93,425,313
173.04,424,313
173.16,424,314
173.28,425,314
173.4,425,314
173.51,426,314
173.62,425,313
173.73,425,312
173.86,422,311
173.98,418,310
174.1,420,309
174.21,421,309
174.33,420,310
174.45,422,310
174.56,424,310
174.67,425,311
174.78,426,311
174.89,427,311
175,427,311
175.11,428,311
175.23,427,311
175.34,424,310
175.45,422,309
175.56,420,309
175.68,413,310
175.79,406,311
175.92,396,311
176.03,389,312
176.15,383,311
176.26,374,311
176.39,369,311
176.5,365,312
176.63,356,311
176.75,347,310
176.88,341,311
176.99,339,310
177.11,338,309
177.23,334,307
177.35,328,307
177.46,321,307
177.58,313,306
177.69,308,307
177.8,305,308
177.92,303,308
178.04,303,308
178.15,302,309
178.27,302,309
178.38,302,309
178.5,302,310
178.62,302,311
178.73,301,310
178.85,302,310
178.97,302,310
179.08,302,310
179.2,301,308
179.32,298,306
179.44,294,305
179.56,293,305
179.67,292,305
179.79,292,304
179.9,290,302
180.01,290,302
180.13,290,302
180.24,290,302
180.36,290,302
180.48,291,303
180.59,291,302
180.7,292,301
180.82,291,299
180.93,291,299
181.06,291,299
181.17,291,299
181.28,292,300
181.41,291,299
181.52,290,296
181.64,290,294
181.75,290,294
181.86,293,299
181.97,293,300
182.08,293,300
182.19,290,299
182.3,290,299
182.41,290,299
182.53,290,299
182.64,290,300
182.77,290,300
182.89,290,300
183,291,300
183.13,289,302
183.25,287,302
183.37,283,303
183.48,277,304
183.6,268,305
183.71,259,306
183.83,246,305
183.95,229,305
184.06,219,304
184.17,213,305
184.29,205,307
184.41,198,306
184.52,189,306
184.64,179,305
184.76,175,306
184.88,172,305
185,174,305
185.12,170,306
185.24,166,307
185.36,162,308
185.48,160,308
185.59,156,309
185.71,156,308
185.83,157,310
185.94,156,310
186.05,156,311
186.17,154,310
186.28,153,311
186.4,152,312
186.51,152,312
186.62,152,313
186.74,152,313
186.85,152,313
186.97,151,312
187.09,151,312
187.2,154,311
187.31,152,310
187.43,153,309
187.55,153,308
187.66,153,309
187.79,154,309
187.9,155,310
188.01,155,309
188.13,155,309
188.23,154,309
188.34,154,308
188.46,154,308
188.57,152,308
188.67,153,309
188.79,155,310
188.89,157,311
189.01,159,313
189.12,163,313
189.23,167,314
189.36,172,314
189.48,177,314
189.59,185,313
189.71,189,313
189.83,200,313
189.94,209,314
190.06,215,312
190.18,222,311
190.29,229,309
190.4,234,309
190.53,236,308
190.64,237,309
190.76,238,309
190.88,242,308
191,246,308
191.11,252,308
191.23,260,310
191.35,264,310
191.46,268,311
191.58,270,311
191.69,270,311
191.81,269,310
191.93,269,311
192.04,271,311
192.16,272,312
192.29,273,313
192.4,274,314
192.52,274,314
192.65,274,314
192.76,275,313
192.88,276,314
193,276,314
193.11,276,314
193.23,276,314
193.35,276,314
193.46,278,316
193.58,279,316
193.69,281,318
193.8,283,320
193.92,284,321
194.03,285,320
194.14,285,320
194.26,285,320
194.37,284,320
194.48,284,320
194.59,284,319
194.72,280,316
194.83,280,314
194.95,283,313
195.07,287,312
195.19,290,310
195.31,290,309
195.43,290,308
195.55,290,308
195.66,290,308
195.77,290,308
195.88,290,308
196,290,308
196.12,291,308
196.23,296,309
196.35,299,310
196.47,298,309
196.58,299,309
196.7,298,308
196.81,296,309
196.93,295,309
197.04,295,309
197.16,295,310
197.28,295,311
197.4,295,310
197.52,296,310
197.63,296,310
197.74,296,310
197.85,295,311
197.98,295,311
198.1,294,311
198.22,293,312
198.34,294,313
198.45,294,313
198.57,294,313
198.68,294,313
198.79,294,312
198.92,294,312
199.03,293,311
199.15,292,311
199.26,292,310
199.38,291,309
199.5,293,308
199.62,293,308
199.73,293,308
199.84,294,309
199.96,295,309
200.09,294,309
200.2,294,310
200.31,294,310
200.43,293,311
